name,date,time,value
pm10,1/3/2009,3:00:00,9.35E-09
U10M,1/3/2009,3:00:00,4.19675
V10M,1/3/2009,3:00:00,1.47838
T2M,1/3/2009,3:00:00,287.053
D2M,1/3/2009,3:00:00,278.566
pm1,1/3/2009,6:00:00,4.75E-09
pm2p5,1/3/2009,6:00:00,5.84E-09
pm10,1/3/2009,6:00:00,8.39E-09
U10M,1/3/2009,6:00:00,2.89756
V10M,1/3/2009,6:00:00,3.02505
T2M,1/3/2009,6:00:00,287.451
D2M,1/3/2009,6:00:00,278.826
pm1,1/3/2009,9:00:00,5.45E-09
pm2p5,1/3/2009,9:00:00,6.56E-09
pm10,1/3/2009,9:00:00,9.36E-09
U10M,1/3/2009,9:00:00,2.53677
V10M,1/3/2009,9:00:00,3.75688
T2M,1/3/2009,9:00:00,288.655
D2M,1/3/2009,9:00:00,280.342
pm1,1/3/2009,12:00:00,8.68E-09
pm2p5,1/3/2009,12:00:00,1.02E-08
pm10,1/3/2009,12:00:00,1.44E-08
U10M,1/3/2009,12:00:00,0.900741
V10M,1/3/2009,12:00:00,1.8054
T2M,1/3/2009,12:00:00,288.616
D2M,1/3/2009,12:00:00,283.072
pm1,1/3/2009,15:00:00,9.82E-09
pm2p5,1/3/2009,15:00:00,1.15E-08
pm10,1/3/2009,15:00:00,1.63E-08
U10M,1/3/2009,15:00:00,-1.08451
V10M,1/3/2009,15:00:00,2.07607
T2M,1/3/2009,15:00:00,288.209
D2M,1/3/2009,15:00:00,283.155
pm1,1/3/2009,18:00:00,9.08E-09
pm2p5,1/3/2009,18:00:00,1.09E-08
pm10,1/3/2009,18:00:00,1.55E-08
U10M,1/3/2009,18:00:00,-2.14826
V10M,1/3/2009,18:00:00,3.06083
T2M,1/3/2009,18:00:00,288.364
D2M,1/3/2009,18:00:00,282.126
pm1,1/3/2009,21:00:00,7.93E-09
pm2p5,1/3/2009,21:00:00,9.53E-09
pm10,1/3/2009,21:00:00,1.36E-08
U10M,1/3/2009,21:00:00,-1.87939
V10M,1/3/2009,21:00:00,3.1246
T2M,1/3/2009,21:00:00,288.601
D2M,1/3/2009,21:00:00,281.548
pm1,1/4/2009,0:00:00,7.14E-09
pm2p5,1/4/2009,0:00:00,8.59E-09
pm10,1/4/2009,0:00:00,1.23E-08
U10M,1/4/2009,0:00:00,-2.04686
V10M,1/4/2009,0:00:00,2.16269
T2M,1/4/2009,0:00:00,287.725
D2M,1/4/2009,0:00:00,281.789
pm1,1/4/2009,3:00:00,7.85E-09
pm2p5,1/4/2009,3:00:00,9.50E-09
pm10,1/4/2009,3:00:00,1.36E-08
U10M,1/4/2009,3:00:00,-3.58455
V10M,1/4/2009,3:00:00,1.3899
T2M,1/4/2009,3:00:00,288.151
D2M,1/4/2009,3:00:00,282.037
pm1,1/4/2009,6:00:00,8.23E-09
pm2p5,1/4/2009,6:00:00,1.01E-08
pm10,1/4/2009,6:00:00,1.44E-08
U10M,1/4/2009,6:00:00,-3.41241
V10M,1/4/2009,6:00:00,2.01088
T2M,1/4/2009,6:00:00,287.131
D2M,1/4/2009,6:00:00,282.359
pm1,1/4/2009,9:00:00,8.35E-09
pm2p5,1/4/2009,9:00:00,1.03E-08
pm10,1/4/2009,9:00:00,1.49E-08
U10M,1/4/2009,9:00:00,-2.24593
V10M,1/4/2009,9:00:00,2.35953
T2M,1/4/2009,9:00:00,287.224
D2M,1/4/2009,9:00:00,283.923
pm1,1/4/2009,12:00:00,6.27E-09
pm2p5,1/4/2009,12:00:00,7.81E-09
pm10,1/4/2009,12:00:00,1.12E-08
U10M,1/4/2009,12:00:00,-1.46213
V10M,1/4/2009,12:00:00,0.491204
T2M,1/4/2009,12:00:00,286.855
D2M,1/4/2009,12:00:00,283.932
pm1,1/4/2009,15:00:00,6.50E-09
pm2p5,1/4/2009,15:00:00,8.09E-09
pm10,1/4/2009,15:00:00,1.15E-08
U10M,1/4/2009,15:00:00,-1.53564
V10M,1/4/2009,15:00:00,0.969543
T2M,1/4/2009,15:00:00,286.356
D2M,1/4/2009,15:00:00,283.862
pm1,1/4/2009,18:00:00,6.02E-09
pm2p5,1/4/2009,18:00:00,7.54E-09
pm10,1/4/2009,18:00:00,1.07E-08
U10M,1/4/2009,18:00:00,-1.7563
V10M,1/4/2009,18:00:00,1.52452
T2M,1/4/2009,18:00:00,286.769
D2M,1/4/2009,18:00:00,284.183
pm1,1/4/2009,21:00:00,4.51E-09
pm2p5,1/4/2009,21:00:00,6.01E-09
pm10,1/4/2009,21:00:00,8.65E-09
U10M,1/4/2009,21:00:00,-0.921368
V10M,1/4/2009,21:00:00,1.85071
T2M,1/4/2009,21:00:00,286.443
D2M,1/4/2009,21:00:00,283.446
pm1,1/5/2009,0:00:00,5.51E-09
pm2p5,1/5/2009,0:00:00,7.83E-09
pm10,1/5/2009,0:00:00,1.15E-08
U10M,1/5/2009,0:00:00,0.512507
V10M,1/5/2009,0:00:00,3.42012
T2M,1/5/2009,0:00:00,287.954
D2M,1/5/2009,0:00:00,283.585
pm1,1/5/2009,3:00:00,4.95E-09
pm2p5,1/5/2009,3:00:00,7.21E-09
pm10,1/5/2009,3:00:00,1.06E-08
U10M,1/5/2009,3:00:00,0.94426
V10M,1/5/2009,3:00:00,3.33848
T2M,1/5/2009,3:00:00,287.191
D2M,1/5/2009,3:00:00,283.144
pm1,1/5/2009,6:00:00,4.69E-09
pm2p5,1/5/2009,6:00:00,6.53E-09
pm10,1/5/2009,6:00:00,9.54E-09
U10M,1/5/2009,6:00:00,0.873157
V10M,1/5/2009,6:00:00,3.68796
T2M,1/5/2009,6:00:00,287.205
D2M,1/5/2009,6:00:00,283.147
pm1,1/5/2009,9:00:00,4.52E-09
pm2p5,1/5/2009,9:00:00,5.92E-09
pm10,1/5/2009,9:00:00,8.56E-09
U10M,1/5/2009,9:00:00,0.992126
V10M,1/5/2009,9:00:00,3.59075
T2M,1/5/2009,9:00:00,288.291
D2M,1/5/2009,9:00:00,285.851
pm1,1/5/2009,12:00:00,9.61E-09
pm2p5,1/5/2009,12:00:00,1.25E-08
pm10,1/5/2009,12:00:00,1.80E-08
U10M,1/5/2009,12:00:00,1.15631
V10M,1/5/2009,12:00:00,2.27789
T2M,1/5/2009,12:00:00,289.284
D2M,1/5/2009,12:00:00,286.492
pm1,1/5/2009,15:00:00,1.12E-08
pm2p5,1/5/2009,15:00:00,1.44E-08
pm10,1/5/2009,15:00:00,2.03E-08
U10M,1/5/2009,15:00:00,-0.413541
V10M,1/5/2009,15:00:00,2.55703
T2M,1/5/2009,15:00:00,289.497
D2M,1/5/2009,15:00:00,285.432
pm1,1/5/2009,18:00:00,1.17E-08
pm2p5,1/5/2009,18:00:00,1.49E-08
pm10,1/5/2009,18:00:00,2.08E-08
U10M,1/5/2009,18:00:00,-0.31817
V10M,1/5/2009,18:00:00,3.21746
T2M,1/5/2009,18:00:00,290.789
D2M,1/5/2009,18:00:00,285.974
pm1,1/5/2009,21:00:00,1.19E-08
pm2p5,1/5/2009,21:00:00,1.53E-08
pm10,1/5/2009,21:00:00,2.16E-08
U10M,1/5/2009,21:00:00,0.154517
V10M,1/5/2009,21:00:00,3.30265
T2M,1/5/2009,21:00:00,290.901
D2M,1/5/2009,21:00:00,285.129
pm1,1/6/2009,0:00:00,2.37E-09
pm2p5,1/6/2009,0:00:00,3.15E-09
pm10,1/6/2009,0:00:00,4.43E-09
U10M,1/6/2009,0:00:00,0.990956
V10M,1/6/2009,0:00:00,3.21074
T2M,1/6/2009,0:00:00,290.366
D2M,1/6/2009,0:00:00,285.99
pm1,1/6/2009,3:00:00,2.03E-09
pm2p5,1/6/2009,3:00:00,2.66E-09
pm10,1/6/2009,3:00:00,3.76E-09
U10M,1/6/2009,3:00:00,0.583107
V10M,1/6/2009,3:00:00,2.92881
T2M,1/6/2009,3:00:00,288.235
D2M,1/6/2009,3:00:00,284.952
pm1,1/6/2009,6:00:00,2.56E-09
pm2p5,1/6/2009,6:00:00,3.34E-09
pm10,1/6/2009,6:00:00,4.83E-09
U10M,1/6/2009,6:00:00,-0.130019
V10M,1/6/2009,6:00:00,3.74821
T2M,1/6/2009,6:00:00,287.81
D2M,1/6/2009,6:00:00,284.323
pm1,1/6/2009,9:00:00,2.87E-09
pm2p5,1/6/2009,9:00:00,3.62E-09
pm10,1/6/2009,9:00:00,5.18E-09
U10M,1/6/2009,9:00:00,-0.587547
V10M,1/6/2009,9:00:00,3.17568
T2M,1/6/2009,9:00:00,289.291
D2M,1/6/2009,9:00:00,286.136
