#,name,date,time,value,
,t2m,2014-01-02,21:00:00,290.17,
,d2m,2014-01-02,21:00:00,283.89,
,pm1,2014-01-03,00:00:00,2.42054e-08,
,pm2p5,2014-01-03,00:00:00,3.53286e-08,
,pm10,2014-01-03,00:00:00,4.77214e-08,
,u10,2014-01-03,00:00:00,-5.64205,
,v10,2014-01-03,00:00:00,-2.53487,
,t2m,2014-01-03,00:00:00,290.139,
,d2m,2014-01-03,00:00:00,283.363,
,pm1,2014-01-03,03:00:00,2.49617e-08,
,pm2p5,2014-01-03,03:00:00,3.72835e-08,
,pm10,2014-01-03,03:00:00,5.03451e-08,
,u10,2014-01-03,03:00:00,-6.72323,
,v10,2014-01-03,03:00:00,-2.50684,
,t2m,2014-01-03,03:00:00,289.569,
,d2m,2014-01-03,03:00:00,282.64,
,pm1,2014-01-03,06:00:00,2.39289e-08,
,pm2p5,2014-01-03,06:00:00,3.68937e-08,
,pm10,2014-01-03,06:00:00,4.98781e-08,
,u10,2014-01-03,06:00:00,-7.56973,
,v10,2014-01-03,06:00:00,-2.33329,
,t2m,2014-01-03,06:00:00,289.148,
,d2m,2014-01-03,06:00:00,282.613,
,pm1,2014-01-03,09:00:00,2.1961e-08,
,pm2p5,2014-01-03,09:00:00,3.49839e-08,
,pm10,2014-01-03,09:00:00,4.71248e-08,
,u10,2014-01-03,09:00:00,-7.59669,
,v10,2014-01-03,09:00:00,-2.65194,
,t2m,2014-01-03,09:00:00,288.74,
,d2m,2014-01-03,09:00:00,284.775,
,pm1,2014-01-03,12:00:00,7.40876e-09,
,pm2p5,2014-01-03,12:00:00,1.20269e-08,
,pm10,2014-01-03,12:00:00,1.61654e-08,
,u10,2014-01-03,12:00:00,-6.57386,
,v10,2014-01-03,12:00:00,-2.80899,
,t2m,2014-01-03,12:00:00,288.599,
,d2m,2014-01-03,12:00:00,284.748,
,pm1,2014-01-03,15:00:00,9.90807e-09,
,pm2p5,2014-01-03,15:00:00,1.59876e-08,
,pm10,2014-01-03,15:00:00,2.12485e-08,
,u10,2014-01-03,15:00:00,-6.79742,
,v10,2014-01-03,15:00:00,-3.08497,
,t2m,2014-01-03,15:00:00,287.881,
,d2m,2014-01-03,15:00:00,283.385,
,pm1,2014-01-03,18:00:00,1.26364e-08,
,pm2p5,2014-01-03,18:00:00,2.02519e-08,
,pm10,2014-01-03,18:00:00,2.67781e-08,
,u10,2014-01-03,18:00:00,-6.8731,
,v10,2014-01-03,18:00:00,-3.67836,
,t2m,2014-01-03,18:00:00,288.759,
,d2m,2014-01-03,18:00:00,282.81,
,pm1,2014-01-03,21:00:00,1.43266e-08,
,pm2p5,2014-01-03,21:00:00,2.31881e-08,
,pm10,2014-01-03,21:00:00,3.08272e-08,
,u10,2014-01-03,21:00:00,-7.51409,
,v10,2014-01-03,21:00:00,-4.09222,
,t2m,2014-01-03,21:00:00,289.271,
,d2m,2014-01-03,21:00:00,281.966,
,pm1,2014-01-04,00:00:00,9.15688e-09,
,pm2p5,2014-01-04,00:00:00,1.50532e-08,
,pm10,2014-01-04,00:00:00,1.99309e-08,
,u10,2014-01-04,00:00:00,-7.09987,
,v10,2014-01-04,00:00:00,-3.53759,
,t2m,2014-01-04,00:00:00,288.759,
,d2m,2014-01-04,00:00:00,282.475,
,pm1,2014-01-04,03:00:00,1.27325e-08,
,pm2p5,2014-01-04,03:00:00,2.12313e-08,
,pm10,2014-01-04,03:00:00,2.81509e-08,
,u10,2014-01-04,03:00:00,-7.78562,
,v10,2014-01-04,03:00:00,-3.78945,
,t2m,2014-01-04,03:00:00,288.813,
,d2m,2014-01-04,03:00:00,282.704,
,pm1,2014-01-04,06:00:00,1.59942e-08,
,pm2p5,2014-01-04,06:00:00,2.68285e-08,
,pm10,2014-01-04,06:00:00,3.58629e-08,
,u10,2014-01-04,06:00:00,-8.34378,
,v10,2014-01-04,06:00:00,-4.11263,
,t2m,2014-01-04,06:00:00,288.342,
,d2m,2014-01-04,06:00:00,281.941,
,pm1,2014-01-04,09:00:00,1.80654e-08,
,pm2p5,2014-01-04,09:00:00,3.0036e-08,
,pm10,2014-01-04,09:00:00,4.03931e-08,
,u10,2014-01-04,09:00:00,-8.54087,
,v10,2014-01-04,09:00:00,-4.40942,
,t2m,2014-01-04,09:00:00,288.395,
,d2m,2014-01-04,09:00:00,282.65,
,pm1,2014-01-04,12:00:00,1.51389e-08,
,pm2p5,2014-01-04,12:00:00,2.45279e-08,
,pm10,2014-01-04,12:00:00,3.27299e-08,
,u10,2014-01-04,12:00:00,-6.99724,
,v10,2014-01-04,12:00:00,-4.15694,
,t2m,2014-01-04,12:00:00,287.359,
,d2m,2014-01-04,12:00:00,283.172,
